CustomerID,FullName,Gender,DateOfBirth,City,Country,IncomeBand,Email,PhoneNumber,LoadDate
C001,Sipho Smit,female,1979-12-21,Pietermaritzburg,South Africa,Middle,sipho.smit1@gmail.com,0832719583,2026-05-20 21:18:03.947897
C002,Mduduzi Brown,male,1960-11-07,Johannesburg,South Africa,Low,mduduzi.brown2@gmail.com,0664903402,2026-05-20 21:18:03.947897
C003,Nkosinathi Gcaleka,male,1995-08-21,Pietermaritzburg,South Africa,High,nkosinathi.gcaleka3@gmail.com,0785667265,2026-05-20 21:18:03.947897
C004,Francois Brown,male,1988-07-11,Kimberley,South Africa,Middle,francois.brown4@gmail.com,0666647119,2026-05-20 21:18:03.947897
C005,Tshepo Smith,male,1966-09-05,Rustenburg,South Africa,Upper-Middle,tshepo.smith5@gmail.com,0795437923,2026-05-20 21:18:03.947897
C006,Phiwayinkosi Singh,MALE,1969-03-14,George,South Africa,Low,phiwayinkosi.singh6@gmail.com,0775918715,2026-05-20 21:18:03.947897
C007,Nokufa Gcaleka,MALE,1964-03-29,Cape Town,South Africa,Middle,nokufa.gcaleka7@gmail.com,0845855124,2026-05-20 21:18:03.947897
C008,David Cele,M,1992-02-07,Kimberley,South Africa,High,david.cele8@gmail.com,0807120868,2026-05-20 21:18:03.947897
C009,Sifiso Steyn,M,1976-10-18,Kimberley,South Africa,Low,sifiso.steyn9@gmail.com,0793871230,2026-05-20 21:18:03.947897
C010,Francois Anderson,female,1992-01-16,Kimberley,South Africa,Middle,francois.anderson10@gmail.com,0816440561,2026-05-20 21:18:03.947897
C011,David Dlamini,FEMALE,1986-04-20,George,South Africa,Upper-Middle,david.dlamini11@gmail.com,0624539704,2026-05-20 21:18:03.947897
C012,Neha Khoza,M,2002-10-15,George,South Africa,High,neha.khoza12@gmail.com,0645443951,2026-05-20 21:18:03.947897
C013,Rajesh Moodley,male,1981-07-28,Benoni,South Africa,High,rajesh.moodley13@gmail.com,0887700828,2026-05-20 21:18:03.947897
C014,Sunita Mokoena,M,2003-09-18,Sandton,South Africa,Low,sunita.mokoena14@gmail.com,0841790481,2026-05-20 21:18:03.947897
C015,Hendrik Mhlongo,M,1972-05-09,Paarl,South Africa,Low,hendrik.mhlongo15@gmail.com,0727402509,2026-05-20 21:18:03.947897
C016,Sbongile Fourie,MALE,1959-01-12,Pretoria,South Africa,Upper-Middle,sbongile.fourie16@gmail.com,0846707197,2026-05-20 21:18:03.947897
C017,Mohammed Brown,male,1972-03-10,Stellenbosch,South Africa,Low,mohammed.brown17@gmail.com,0835418934,2026-05-20 21:18:03.947897
C018,Sakhile Cele,female,1984-10-10,Centurion,South Africa,Middle,sakhile.cele18@gmail.com,0647273233,2026-05-20 21:18:03.947897
C019,Mthulisi Pillay,female,1958-01-19,Boksburg,South Africa,Upper-Middle,mthulisi.pillay19@gmail.com,0751326765,2026-05-20 21:18:03.947897
C020,Sifiso Joubert,female,1979-06-26,Cape Town,South Africa,Middle,sifiso.joubert20@gmail.com,0882321324,2026-05-20 21:18:03.947897
C021,,Male,2005-10-16,Port Elizabeth,South Africa,Middle,lwazi.ndlovu21@gmail.com,0818973915,2026-05-20 21:18:03.947897
C022,,Male,1995-12-18,East London,South Africa,Middle,sanjay.pillay22@gmail.com,0826229731,2026-05-20 21:18:03.947897
C023,,Female,2004-06-07,Stellenbosch,South Africa,Low,siphokazi.taylor23@gmail.com,0674769795,2026-05-20 21:18:03.947897
